noticeId,title,action,actor,timestampKST,commitHash,deployId,deployUrl,fileSha256
notice-2026-001,신앤 F&B 홈페이지 공개 안내,published,admin,2026-07-09T09:00:00+09:00,cd078b51b6a4cb49ae0a2ca9c3c19a317a108254,TBD,TBD,d446c800bd4bcfb274d5599dd67d7173efb973a1f09f14d7452302577a2d65a7
notice-2026-002,전자공고 게시 및 보관 운영 기준 안내,published,admin,2026-07-09T09:00:00+09:00,cd078b51b6a4cb49ae0a2ca9c3c19a317a108254,TBD,TBD,da8be972caee2a4156e25837eeba594efad6c1cdcc2cbd0f2c77c6738602e530
